Kategori,Url Berita,Tanggal,Ringkasan Fenomena,Sentiment,Alasan
Tanaman Pangan,https://www.kodim0816-sidoarjo.com/detailpost/forkopimda-gelar-penanaman-jagung-1-juta-hektar-di-balongbendo-untuk-dukung-swasembada-pangan-2025,22 Januari,"Forkopimda Kabupaten Sidoarjo, bersama dengan TNI, Polri, dan berbagai elemen masyarakat, menggelar kegiatan penanaman jagung serentak di Kecamatan Balongbendo. Kegiatan ini merupakan bagian dari gerakan nasional penanaman satu juta hektar jagung yang dicanangkan oleh Menteri Pertanian dan Kapolri untuk mendukung program swasembada pangan nasional pada tahun 2025. Dalam acara tersebut, juga diserahkan bantuan sembako kepada kelompok tani setempat sebagai wujud dukungan nyata pemerintah.",Positif,"Berita ini memiliki sentimen positif karena menyoroti adanya sinergi dan kolaborasi yang kuat antara instansi pemerintah (Forkopimda, TNI, Polri) dengan masyarakat untuk mencapai tujuan yang bermanfaat bagi publik, yaitu ketahanan pangan nasional. Kegiatan ini digambarkan sebagai upaya proaktif untuk meningkatkan kesejahteraan masyarakat, khususnya para petani lokal, melalui program nyata dan pemberian bantuan. Tidak ada aspek negatif yang dilaporkan dalam berita tersebut."
Tanaman Hortikultura Semusim,"https://www.detik.com/jatim/berita/d-7750071/polisi-sidoarjo-edukasi-dan-dukung-santri-tanam-buah-hidroponik, https://finance.detik.com/berita-ekonomi-bisnis/d-7723040/mendag-zulhas-tinjau-pasar-di-sidoarjo-temukan-harga-cabai-rp-90-000-kg",25 Januari; 8 Januari,"Polisi dari Polresta Sidoarjo melakukan edukasi dan pendampingan kepada santri di Pondok Pesantren Baitul Mustofa, Sidoarjo, untuk menanam buah dan sayur secara hidroponik. Program ini bertujuan untuk mendukung ketahanan pangan dan mengajari santri cara bercocok tanam modern. Di sisi lain, Menteri Perdagangan Zulkifli Hasan atau Zulhas meninjau beberapa pasar di Sidoarjo dan menemukan kenaikan harga cabai rawit yang signifikan, mencapai Rp 90.000 per kilogram. Kenaikan harga ini dipicu oleh kurangnya pasokan dari petani akibat gagal panen, serta faktor cuaca.",Negatif,"Sentimen ini cenderung negatif karena adanya ketidakseimbangan antara upaya positif dan masalah ekonomi yang dihadapi masyarakat. Meskipun ada inisiatif baik dari kepolisian untuk mengajarkan santri teknik hidroponik yang mendukung kemandirian pangan, masalah kenaikan harga cabai rawit hingga Rp 90.000/kg yang ditemukan oleh Menteri Perdagangan menunjukkan adanya ketidakstabilan harga bahan pokok di Sidoarjo. Kenaikan harga yang sangat tinggi ini tentu membebani masyarakat, terutama ibu rumah tangga dan pelaku usaha kuliner, sehingga lebih menyoroti masalah ekonomi yang mendesak dibandingkan inisiatif kecil yang sedang berjalan."
Perkebunan Semusim,test,,test,Kosong,
Tanaman Hortikultura Tahunan dan Lainnya,"https://www.detik.com/jatim/berita/d-7727840/polisi-sidoarjo-dukung-program-ketahanan-pangan-ajak-warga-tanam-sayuran, https://www.detik.com/jatim/berita/d-7723842/polisi-dan-warga-di-sidoarjo-panen-kangkung-dukung-ketahanan-pangan",11 Januari; 8 Januari,"Polisi di Sidoarjo, Jawa Timur, aktif mendukung program ketahanan pangan dengan mengajak warga menanam sayuran. Aksi ini dilakukan di berbagai tempat, salah satunya di Desa Suko. Polsek Sidoarjo Kota bersama warga memanfaatkan lahan kosong untuk menanam berbagai jenis sayuran, seperti kangkung. Kegiatan ini telah menunjukkan hasil positif dengan adanya panen kangkung bersama antara polisi dan warga. Program ini bertujuan untuk membantu masyarakat dalam memenuhi kebutuhan pangan sehari-hari dan memperkuat ketahanan pangan di wilayah tersebut.",Positif,"Sentimennya positif karena berita ini menyoroti kerja sama yang baik antara kepolisian dan masyarakat dalam mengatasi masalah sosial dan ekonomi. Inisiatif polisi untuk mengajak dan membimbing warga menanam sayuran tidak hanya membantu meningkatkan ketahanan pangan lokal, tetapi juga mempererat hubungan baik antara aparat dan warga. Keberhasilan panen kangkung bersama menjadi bukti nyata dari keberhasilan program ini, yang memberikan dampak positif dan berkelanjutan bagi masyarakat Sidoarjo."
Perkebunan Tahunan,,,nan,Kosong,
Jasa Pertanian dan Perburuan,,,nan,Kosong,
Peternakan,https://radarsidoarjo.jawapos.com/ekonomi-bisnis/855551265/kasus-pmk-di-sidoarjo-melonjak-penjualan-daging-sapi-di-pasar-porong-merosot,21 Januari,"Wabah Penyakit Mulut dan Kuku (PMK) kembali meningkat di Sidoarjo, menyebabkan dampak negatif pada perdagangan daging sapi di Pasar Porong. Para pedagang mengeluhkan penurunan penjualan hingga hampir 50%, bahkan meskipun harga daging sapi sudah diturunkan dari Rp110 ribu menjadi Rp105 ribu per kilogram. Penurunan minat pembeli ini terjadi karena kekhawatiran masyarakat terhadap penyakit tersebut. Beberapa pedagang yang biasanya bisa menjual 75-95 kilogram daging sapi per hari, kini hanya bisa menjual sekitar 50-65 kilogram, bahkan pada akhir pekan.",Negatif,"Sentimen ini negatif karena berita ini menggambarkan dampak buruk dari wabah PMK terhadap perekonomian lokal. Kenaikan kasus PMK secara langsung menyebabkan kerugian bagi para pedagang daging sapi di Pasar Porong akibat penurunan penjualan yang signifikan. Penurunan daya beli masyarakat karena kekhawatiran akan penyakit ini menciptakan ketidakstabilan ekonomi dan kerugian finansial bagi para pelaku usaha, yang menunjukkan situasi yang tidak menguntungkan bagi pihak pedagang maupun konsumen."
Kehutanan dan Penebangan Kayu,,,nan,Kosong,
Perikanan,"https://www.detik.com/jatim/berita/d-7747004/sebagian-hgb-laut-tumpang-tindih-dengan-tambak-warga-pbb-tak-bisa-terbit, https://www.detik.com/jatim/berita/d-7746627/dugaan-sementara-hgb-656-hektare-di-laut-sidoarjo-dulu-awalnya-tambak, https://www.detik.com/jatim/berita/d-7745116/bukan-dengan-bambu-hgb-656-ha-di-laut-sidoarjo-pernah-dipagari-kayu",23 Januari; 23 Januari; 22 Januari,"Sebuah kasus kompleks terkait sertifikat Hak Guna Bangunan (HGB) seluas 656 hektare di tengah laut Sidoarjo menjadi sorotan. Investigasi awal menunjukkan bahwa sebagian dari lahan HGB tersebut tumpang tindih dengan tambak milik warga, bahkan tumpang tindih ini membuat warga tidak bisa mengurus Pajak Bumi dan Bangunan (PBB). Diduga, lahan yang kini berada di tengah laut tersebut dulunya merupakan tambak yang dipagari. Pernah ada upaya pemagaran lahan menggunakan kayu, bukan bambu, untuk menandai wilayah. Permasalahan ini menciptakan kebingungan dan kesulitan bagi warga setempat yang terdampak langsung.",Negatif,"Sentimennya negatif karena berita ini menggambarkan masalah hukum dan administrasi yang merugikan warga. Adanya tumpang tindih antara HGB yang dikeluarkan pemerintah dan lahan tambak milik warga menyebabkan warga tidak bisa membayar PBB. Situasi ini menunjukkan adanya ketidakberesan dalam proses penerbitan sertifikat dan pengelolaan lahan. Berita ini menyoroti konflik kepentingan, ketidakpastian hukum, dan kesulitan yang dialami masyarakat, yang secara keseluruhan menciptakan dampak negatif dan kekhawatiran bagi warga Sidoarjo."
"Pertambangan Minyak, Gas dan Panas Bumi",https://economy.okezone.com/read/2025/01/31/278/3109418/pgn-pgas-siapkan-belanja-modal-rp55-triliun-di-2025-bangun-infrastruktur-gas-dan-transisi-energi,31 Januari,"PT Perusahaan Gas Negara Tbk (PGN) atau PGAS berencana mengalokasikan belanja modal sebesar Rp 5,5 triliun pada tahun 2025. Dana ini akan digunakan untuk memperkuat infrastruktur gas, membangun jaringan pipa gas, dan mendukung program transisi energi. PGN juga berencana meningkatkan kapasitas regasifikasi dan mengoptimalkan aset-aset yang sudah ada. Fokus investasi ini mencakup proyek-proyek strategis yang mendukung penyediaan gas alam cair (LNG) dan mendorong penggunaan energi bersih di Indonesia, sejalan dengan komitmen perusahaan terhadap keberlanjutan.",Positif,"Sentimen ini positif karena berita ini menunjukkan komitmen kuat PGN dalam mengembangkan infrastruktur energi dan mendukung transisi energi di Indonesia. Alokasi belanja modal yang besar menunjukkan optimisme perusahaan terhadap pertumbuhan bisnis dan kontribusinya terhadap ketahanan energi nasional. Investasi ini diharapkan dapat memperluas akses gas bagi masyarakat dan industri, serta mendorong penggunaan sumber energi yang lebih bersih, yang merupakan langkah positif bagi lingkungan dan ekonomi."
