Kategori,Url Berita,Tanggal,Ringkasan Fenomena,Sentiment,Alasan
Tanaman Pangan,"https://radarsidoarjo.jawapos.com/kota-delta/856358579/monitoring-bantuan-pangan-di-sidoarjo-subandi-gunakan-beras-untuk-konsumsi-sendiri, https://www.bulog.co.id/2025/07/25/bulog-dan-tni-salurkan-bantuan-pangan-dan-beras-sphp-dalam-gerakan-pangan-murah-serentak-di-seluruh-indonesia/, https://mmc.kalteng.go.id/berita/read/48166/saatnya-pemuda-hantak-siku-pertanian-bukan-pilihan-terakhir-tapi-peluang-terbesar",28 Juli; 25 Juli; 30 Juli,"Perum BULOG bersama Tentara Nasional Indonesia (TNI) telah meluncurkan program Gerakan Pangan Murah (GPM) Beras SPHP (Stabilisasi Pasokan dan Harga Pangan) dan Penyaluran Bantuan Pangan (Banpang) yang dilaksanakan serentak di seluruh Indonesia. Program ini bertujuan untuk mendukung swasembada pangan dan mengendalikan inflasi pangan. Menteri Pertahanan Republik Indonesia, Panglima TNI, Wakil Kepala Staf TNI Angkatan Darat, Kepala Badan Pangan Nasional (Bapanas), serta jajaran Forkopimda lainnya hadir dalam peluncuran program ini.",Positif,"Konten tersebut berisi informasi tentang peluncuran program Gerakan Pangan Murah (GPM) yang bertujuan untuk mendukung swasembada pangan dan mengendalikan inflasi pangan. Keterlibatan Menteri Pertahanan Republik Indonesia, Panglima TNI, Wakil Kepala Staf TNI Angkatan Darat, Kepala Badan Pangan Nasional (Bapanas), serta jajaran Forkopimda lainnya dalam peluncuran program ini juga menunjukkan bahwa program tersebut mendapat dukungan dan perhatian dari pihak-pihak yang berwenang."
Tanaman Hortikultura Semusim,"https://www.cakrawala.co/ekonomi/77515651016/bps-nilai-tukar-petani-juli-2025-naik-tipis-sektor-hortikultura-naik-tajam-bagaimana-dengan-sawit, https://mmc.kalteng.go.id/berita/read/48122/menjelajahi-potensi-bumi-tambun-bungai-komoditas-pertanian-pilihan-dan-jurus-budidaya-efektif",1 Agustus; 28 Juli,"Badan Pusat Statistik (BPS) Pusat mengumumkan Nilai Tukar Petani (NTP) Juli 2025 sebesar 122,64 atau naik 0,76 persen dibanding NTP bulan sebelumnya. Penyebab kenaikan NTP adalah indeks harga yang diterima petani naik sebesar 1,18 persen menjadi 152,67. Subsektor Hortikultura mencatat kenaikan mencolok yaitu dari 123,02 pada Juni 2025 ke 131,04 pada Juli 2025. Sementara subsektor perkebunan rakyat menurun dari angka 158,01 ke 155,37 pada Juli 2025.",Positif,"Konten mengumumkan peningkatan NTP nasional sebesar 0,76 persen dan beberapa subsektor seperti Hortikultura dan sayur-sayuran mencatat kenaikan. Penyebab peningkatan adalah indeks harga yang diterima petani naik, yang menunjukkan bahwa situasi ekonomi petani membaik."
Perkebunan Semusim,"https://finance.detik.com/berita-ekonomi-bisnis/d-8024155/budidaya-kakao-di-ri-butuh-dukungan-pemerintah-begini-caranya, https://finance.detik.com/industri/d-8038187/harga-referensi-cpo-naik-jadi-us-910-9-mt, https://finance.detik.com/berita-ekonomi-bisnis/d-8025768/siap-siap-kakao-bakal-kena-pungutan-ekspor, https://finance.detik.com/berita-ekonomi-bisnis/d-7999537/mentan-minta-tambahan-anggaran-jadi-rp-44-6-t-buat-cetak-sawah-genjot-produksi",9 Juli; 31 Juli; 23 Juli; 7 Juli,"Budidaya kakao di Indonesia memerlukan dukungan pemerintah untuk meningkatkan produksi dan nilai tambah produk. Komisi IV DPR menyoroti masalah yang dihadapi petani, termasuk rendahnya produksi kakao dan kurangnya daya tarik generasi muda untuk melakukan budidaya kakao. Wakil Ketua Komisi IV DPR Panggah Susanto mengungkapkan perlu ada langkah konkret dari pemerintah untuk mengatasi masalah tersebut, termasuk membantu petani dengan teknologi pengolahan yang memadai dan sinergi antara sektor perkebunan dan industri.",Positif,"Konten ini memiliki sentimen positif karena Wakil Ketua Komisi IV DPR, Panggah Susanto, mengungkapkan perlu ada langkah konkret dari pemerintah untuk meningkatkan produksi kakao Indonesia. Ia juga menyoroti masalah-masalah yang terjadi dan memberikan solusi-solusi yang dapat membantu petani dan meningkatkan nilai tambah produk turunan cokelat. Konten ini tidak memiliki unsur-unsur negatif seperti kritik atau kecaman, sehingga dapat disimpulkan bahwa sentimen konten ini adalah positif."
Tanaman Hortikultura Tahunan dan Lainnya,"https://hortikultura.pertanian.go.id/__trashed-2/, https://hortikultura.pertanian.go.id/masyarakat-dukung-langkah-tegas-mentan-amran-usut-mafia-pangan-ini-yang-ditunggu-tunggu/",23 Juli; 2 Juli,"Mentan Amran Sulaiman telah mencanangkan Kabupaten Majene, Sulawesi Barat, sebagai calon sentra baru produksi bawang merah nasional. Dalam kunjungan kerja ke Kecamatan Banggae, Mentan Amran menyampaikan rencana pengembangan kawasan hortikultura di Majene, menjadikannya sebagai Kabupaten Bawang di wilayah timur Indonesia. Mentan menilai bawang merah asal kabupaten Majene memiliki potensi unggul dan berkomitmen untuk mendukung pengembangan komoditas ini secara bertahap dan sistematis.",Positif,"Karena dalam konten, Mentan Amran Sulaiman mencanangkan Kabupaten Majene sebagai calon sentra baru produksi bawang merah nasional dan berkomitmen untuk mendukung pengembangan komoditas ini secara bertahap dan sistematis. Hal ini menunjukkan bahwa Mentan memiliki keyakinan dan kepercayaan terhadap potensi bawang merah asal kabupaten Majene, sehingga sentimen yang ditunjukkan adalah positif."
Perkebunan Tahunan,"https://www.detik.com/sumut/berita/d-8014775/hasil-uji-kelayakan-calon-komisaris-dan-direktur-pt-perkebunan-sumut, https://www.detik.com/jatim/berita/d-8016046/tingkatkan-produksi-tebu-bupati-kediri-akan-kawal-kebutuhan-pupuk-petani, https://www.detik.com/jatim/bisnis/d-8015005/lahan-apel-di-kota-batu-semakin-menyusut-petani-pilih-beralih-tanaman",16 Juli; 17 Juli; 17 Juli,"Panitia seleksi (Pansel) PT Perkebunan Sumatera Utara (Sumut) telah mengumumkan hasil uji kelayakan dan kepatutan calon anggota komisaris dan direktur. Tiga nama calon yang dinyatakan lulus untuk posisi anggota komisaris, yaitu Muhammad Syarif Lubis, Yunus Shobrun, dan Antoni Jekson Siahaan. Sedangkan untuk posisi direktur, tidak ada calon yang dinyatakan lulus. Para calon yang lulus akan mengikuti tahapan berikutnya, yakni wawancara akhir pada Kamis (17/7) di Kantor Gubernur Sumatera Utara.",Positif,"Konten ini berisi informasi tentang hasil seleksi yang telah diumumkan, dan hasilnya menunjukkan bahwa beberapa calon telah lulus untuk posisi anggota komisaris. Hal ini menunjukkan proses seleksi yang berjalan lancar dan adil, serta memberikan kesempatan bagi para calon yang lulus untuk mengikuti tahapan berikutnya. Oleh karena itu, sentimen dari konten ini dapat dianggap positif karena berisi informasi yang membanggakan dan menunjukkan kemajuan dalam proses seleksi."
Jasa Pertanian dan Perburuan,https://www.detik.com/jatim/berita/d-8031501/kebun-raya-mangrove-surabaya-rayakan-74-jenis-koleksi-di-usia-2-tahun,27 Juli,"Kebun Raya Mangrove (KRM) Surabaya telah mencapai usia 2 tahun dan telah mengalami pertambahan koleksi jenis mangrove dari 56 menjadi 74 jenis. KRM Surabaya juga berencana untuk mengembangkan lebih sebagai sumber pangan alternatif dan mendukung ketahanan pangan. Pemkot Surabaya telah menggandeng berbagai pihak untuk mengembangkan pemanfaatan mangrove, termasuk sebagai sumber alternatif pangan. Salah satu contoh adalah penanaman padi biosalin di lahan demplot KRM dan pengembangan sistem silvofishery. Dengan pertambahan koleksi dan arah pengembangan yang semakin jelas, Antiek berharap KRM Surabaya bisa jadi role model kebun raya mangrove berbasis ketahanan pangan di Indonesia.",Positif,"Konten menggambarkan keberhasilan Kebun Raya Mangrove (KRM) Surabaya dalam meningkatkan koleksi jenis mangrove dan berencana untuk mengembangkan lebih sebagai sumber pangan alternatif dan mendukung ketahanan pangan.
Pemkot Surabaya juga telah menggandeng berbagai pihak untuk mengembangkan pemanfaatan mangrove, termasuk sebagai sumber alternatif pangan, yang menunjukkan komitmen dan dukungan terhadap proyek ini.
Konten juga berisi harapan bahwa KRM Surabaya dapat menjadi role model kebun raya mangrove berbasis ketahanan pangan di Indonesia, yang menunjukkan optimism dan keyakinan terhadap potensi proyek ini."
Peternakan,"https://www.idntimes.com/news/indonesia/kpk-sita-kandang-sapi-di-kasus-korupsi-hibah-jawa-timur-00-gg3v5-df9yf7, https://tirto.id/kpk-sita-eks-kandang-sapi-terkait-kasus-dana-hibah-apbd-jatim-hdEz#google_vignette",1 Juli; 1 Juli,"Komisi Pemberantasan Korupsi (KPK) telah menyita enam aset milik tersangka korupsi dana hibah untuk kelompok masyarakat di Jawa Timur. Aset-aset tersebut meliputi kandang sapi, ruko, rumah, dan tanah kosong. Penyitaan dilakukan di Sidoarjo dan Surabaya. Selain itu, KPK juga menetapkan 21 tersangka baru dalam dugaan suap dana hibah untuk kelompok masyarakat atau pokmas dari APBD Provinsi Jatim Tahun Anggaran 2019-2022.",Negatif,"Konten ini berisi tentang penyitaan aset milik tersangka korupsi dan penentuan 21 tersangka baru dalam dugaan suap. Hal-hal tersebut menunjukkan adanya tindak pidana korupsi yang terjadi, sehingga konten ini memiliki sentimen negatif karena berisi tentang kejahatan dan pelanggaran hukum."
Kehutanan dan Penebangan Kayu,"https://finance.detik.com/industri/d-8018482/hilirisasi-kemenyan-ala-wapres-gibran-bisa-dijalankan, https://finance.detik.com/berita-ekonomi-bisnis/d-8016365/benarkah-parfum-dibuat-dari-kemenyan-seperti-yang-disebut-gibran",19 Juli; 17 Juli,"Berita tentang hilirisasi kemenyan seperti yang dikemukakan oleh Wakil Presiden Gibran Rakabuming Raka, dapat dilakukan. Kemenyan asal Indonesia kerap diekspor dalam bentuk mentah, sehingga pemerintah berencana mendorong hilirisasi untuk memberikan nilai tambah. Menurut peneliti Bidang Botani Fitokimia dari Badan Riset dan Inovasi Nasional (BRIN), Andria Agusta, kemenyan memang digunakan sebagai bahan baku pembuatan parfum beberapa tahun terakhir. Kemenyan memiliki aroma woody yang khas pada parfum dan dapat membantu memfokuskan pikiran dalam semedi orang yang kebatinan.",Positif,"Berita tentang hilirisasi kemenyan dikemukakan oleh Wakil Presiden, yang menunjukkan bahwa pemerintah berencana mendorong hilirisasi untuk memberikan nilai tambah. Selain itu, peneliti Bidang Botani Fitokimia dari BRIN juga mengungkapkan bahwa kemenyan digunakan sebagai bahan baku pembuatan parfum beberapa tahun terakhir, yang menunjukkan potensi kemenyan sebagai sumber pendapatan. Keterangan tentang kemenyan memiliki aroma woody yang khas pada parfum dan dapat membantu memfokuskan pikiran dalam semedi orang yang kebatinan juga memberikan gambaran positif tentang kemenyan. Overall, konten ini menunjukkan bahwa hilirisasi kemenyan dapat menjadi peluang bagi pemerintah dan masyarakat, sehingga sentimen yang dipilih adalah positif."
Perikanan,"https://www.detik.com/jatim/berita/d-8037027/gudang-di-pelabuhan-perikanan-mayangan-kota-probolinggo-terbakar, https://www.detik.com/jatim/bisnis/d-8037322/6-rukun-nelayan-pantura-lamongan-dilatih-jadi-umkm-berbasis-hasil-laut, https://finance.detik.com/berita-ekonomi-bisnis/d-8009286/investasi-sektor-kelautan-perikanan-tembus-rp-2-38-t-kuartal-i-2025",30 Juli; 30 Juli; 13 Juli,"Sektor kelautan dan perikanan Indonesia pada awal tahun 2025 menunjukkan dinamika yang beragam. Di satu sisi, sektor ini berhasil menarik investasi yang signifikan, menembus angka Rp 2,38 triliun pada kuartal I-2025, menunjukkan pertumbuhan dan minat yang kuat dari para investor. Di sisi lain, sektor ini juga menghadapi tantangan, baik yang bersifat insidental seperti terbakarnya gudang di Pelabuhan Perikanan Mayangan, Probolinggo, maupun yang bersifat struktural. Namun, ada juga upaya positif untuk memberdayakan masyarakat, seperti pelatihan bagi enam rukun nelayan di Pantura Lamongan untuk menjadi UMKM berbasis hasil laut, yang bertujuan untuk meningkatkan nilai tambah dan kesejahteraan nelayan.",Positif,"Sentimen positif muncul karena adanya investasi yang kuat dan upaya pemberdayaan nelayan. Pertumbuhan investasi sebesar Rp 2,38 triliun menunjukkan potensi besar dan daya tarik tinggi sektor ini bagi investor, yang dapat mendorong pertumbuhan ekonomi dan penciptaan lapangan kerja. Sementara itu, program pelatihan UMKM bagi nelayan di Lamongan merupakan langkah nyata untuk meningkatkan kesejahteraan dan kemandirian ekonomi nelayan dengan mengoptimalkan nilai tambah hasil laut."
"Pertambangan Minyak, Gas dan Panas Bumi","https://finance.detik.com/energi/d-8037280/pertamina-hulu-energi-siap-beli-minyak-dari-sumur-masyarakat, https://finance.detik.com/energi/d-8037642/cerita-bahlil-lihat-di-layar-monitor-lifting-minyak-608-000-barel-hari, https://finance.detik.com/energi/d-8034974/umkm-bakal-bisa-garap-sumur-minyak",30 Juli; 30 Juli; 29 Juli,"Pertamina Hulu Energi (PHE) siap membeli hasil produksi sumur minyak masyarakat sebagai bagian dari kolaborasi strategis dengan berbagai pemangku kepentingan dalam upaya meningkatkan ketahanan energi nasional. Pihaknya tengah berkoordinasi dengan Direktorat Jenderal Minyak dan Gas Bumi (Migas) Kementerian Energi dan Sumber Daya Mineral (ESDM) dan SKK Migas serta stakeholder terkait. Harga pembelian hasil minyak dari sumur rakyat akan dilakukan dengan acuan harga sebesar 70% dari Indonesian Crude Price (ICP), yang dinilai sebagai win-win solution untuk semua pihak. Selain itu, Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak dan Gas Bumi (SKK Migas) menargetkan masyarakat sudah dapat menjual hasil minyak yang diproduksi dari sumur minyak rakyat oleh Kontraktor Kontrak Kerja Sama (KKKS) atau perusahaan minyak dan gas bumi (Migas) pada 1 Agustus 2025.",Positif,"Konten menggambarkan kerja sama strategis antara Pertamina Hulu Energi (PHE) dengan berbagai pihak, termasuk Migas dan stakeholder terkait, yang bertujuan meningkatkan ketahanan energi nasional.
Harga pembelian hasil minyak dari sumur rakyat dilakukan dengan acuan harga sebesar 70% dari Indonesian Crude Price (ICP), yang dinilai sebagai win-win solution untuk semua pihak, menunjukkan bahwa PHE berupaya mencari solusi yang menguntungkan bagi semua pihak.
Target penjualan hasil minyak oleh masyarakat pada 1 Agustus 2025 juga menunjukkan bahwa PHE berupaya meningkatkan kesejahteraan masyarakat dengan memberikan kesempatan untuk menjual hasil produksi sumur minyak."
