Kategori,Url Berita,Tanggal,Ringkasan Fenomena,Sentiment,Alasan
Pengeluaran Konsumsi Rumah Tangga,,,,Kosong,
Makanan dan Minuman Non Beralkohol,,,,Kosong,
Minuman Beralkohol dan Rokok,https://radarsidoarjo.jawapos.com/kriminal-delta/856407643/jual-miras-warung-remang-remang-diduga-milik-istri-perangkat-desa-di-krian-sidoarjo-digerebek,8 Agustus,"Pemilik warung makan di Remang, Krian, Sidoarjo, diduga milik istri perangkat desa. Warung tersebut digerebek polisi karena dugaan penjualan miras tanpa izin. Pemilik warung yang tidak bernama ini dikatakan menjual miras secara rahasia dan mengklaim bahwa barang-barang tersebut berasal dari hasil panen pribadi. Petugas polisi menemukan beberapa botol minuman keras dan kemasan makanan yang tidak memiliki stempel izin produksi. Pemerintahan desa memutuskan untuk melakukan investigasi lebih lanjut dan mengambil tindakan hukum jika diperlukan.",Negatif,Ringkasan tersebut berisi informasi tentang polisi yang menggerebek warung makan karena dugaan penjualan miras tanpa izin. Penjualan miras secara rahasia dan klaim bahwa barang-barang berasal dari hasil panen pribadi menunjukkan kecurigaan dan manipulasi. Keberadaan beberapa botol minuman keras dan kemasan makanan yang tidak memiliki stempel izin produksi juga mengarah pada kesalahkan.
Pakaian,,,,Kosong,
"Perumahan, Air, Listrik, Gas dan Bahan Bakar Lainnya","https://radarsidoarjo.jawapos.com/kota-delta/856404411/perumda-delta-tirta-sidoarjo-catat-laba-rp-46-miliar-di-2024-sudah-diaudit-dan-dibahas-bersama-dprd, https://radarsidoarjo.jawapos.com/kota-delta/856444383/hearing-masalah-akses-perumahan-wakil-ketua-dprd-sidoarjo-warih-jalan-mutiara-regency-harus-dibuka",7 Agustus; 17 Agustus,"Perumda Delta Sidoarjo mencatat laba Rp 46 miliar pada tahun 2024. Laba tersebut sudah diaudit dan dibahas bersama DPRD (Dewan Perwakilan Rakyat Daerah). Selain itu, hearing masalah akses perumahan di Warih Jalan Mutiara Regency harus dibuka untuk mendapatkan solusi.",Positif,"Ringkasan berita tentang laba Perumda Delta Sidoarjo sebesar Rp 46 miliar pada tahun 2024 menunjukkan sentimen positif karena hal tersebut menunjukkan kesuksesan dan prestasi yang baik dalam pengelolaan keuangan. Selain itu, adanya auditor dan DPRD yang terlibat dalam proses penyelesaian masalah akses perumahan di Warih Jalan Mutiara Regency juga menunjukkan upaya keras untuk mengatasi masalah tersebut dan mencari solusi yang efektif. Kedua hal ini menunjukkan bahwa situasi tersebut memiliki implikasi positif dan berkontribusi pada kualitas pelayanan publik."
"Perabot, Peralatan Rumahtangga dan Pemeliharaan Rutin Rumah",,,,,
Kesehatan,"https://radarsidoarjo.jawapos.com/kota-delta/856457188/ratusan-ribu-warga-sidoarjo-menderita-ispa-paling-banyak-di-krian, https://radarsidoarjo.jawapos.com/kota-delta/856424529/tunggakan-iuran-bpjs-kesehatan-mandiri-di-sidoarjo-tembus-rp-1159-miliar#google_vignette",20 Agustus; 12 Agustus,"Ratusan ribu warga Sidoarjo menderita ispa, yang paling banyak terjadi di Krian. Sampai tahun ini, tunggakan iuran BPJS Kesehatan Mandiri di Sidoarjo mencapai Rp 1,159 triliun.",Negatif,"Ringkasan berita tentang ratusan ribu warga Sidoarjo yang menderita ispa dan tunggakan iuran BPJS Kesehatan Mandiri sebesar Rp 1,159 triliun menunjukkan sentimen negatif. Alasannya adalah adanya problema kesejahteraan rakyat yang signifikan dan besar biaya yang harus dikeluarkan oleh masyarakat. Isu-isu tersebut dapat mempengaruhi kehidupan sehari-hari warga Sidoarjo dan menjadi sumber kesulitan bagi mereka."
Transportasi/Angkutan,"https://radarsurabayabisnis.jawapos.com/transportasi-logistik/2186451743/armada-feeder-di-kota-surabaya-bertambah-delapan-unit-wira-wiri-segera-mengaspal-di-rute-terminal-intermoda-joyoboyo-karangpilang, https://wartaekonomi.co.id/read579851/kemenhub-gelar-pelatihan-pengemudi-angkutan-barang-untuk-dukung-program-zero-odol",19 Agustus; 21 Agustus,"Direktorat Jenderal Perhubungan Darat Kementerian Perhubungan menyelenggarakan pelatihan pengemudi angkutan barang umum berkeselamatan gelombang II di Politeknik Transportasi Darat Indonesia-STTD Bekasi, Jawa Barat, dari 19-22 Agustus 2025. Kegiatan ini bertujuan meningkatkan kompetensi pengemudi dalam mendukung efektivitas program nasional Zero Over Dimension Over Load (Zero ODOL). Pelatihan ini diikuti oleh 50 peserta dan berlangsung tiga hari, dengan materi yang diberikan meliputi aturan lalu lintas, pre-trip inspection, safety and defensive driving, hingga strategi pembelajaran dan microteaching.",Positif,"Dalam ringkasan tersebut, sentimen positif dapat diidentifikasi karena kegiatan pelatihan pengemudi angkutan barang umum berkeselamatan gelombang II bertujuan meningkatkan kompetensi dan efektivitas program nasional Zero ODOL. Kegiatan ini juga diikuti oleh 50 peserta, menunjukkan tingkat partisipasi yang tinggi dan minat pada pelatihan. Materi pelatihan yang diberikan meliputi topik-topik penting seperti aturan lalu lintas, safety, dan defensive driving, sehingga dapat meningkatkan kesadaran dan kemampuan pengemudi dalam menerapkan prinsip-prinsip keamanan dan keterlaluan."
Komunikasi,https://smamda.sch.id/web/berita/radar-surabaya-nobatkan-smamda-sidoarjo-sebagai-sekolah-berbasis-digital-terbaik-2025,5 Agustus,"SMAMDA Sidoarjo meraih penghargaan Radar Surabaya Award 2025 sebagai Sekolah Berbasis Digital Terbaik. Penghargaan ini diterima oleh Kepala SMAMDA, M. Zainul Arifin SKom MM. Transformasi digital SMAMDA termasuk penyediaan Smartboard di seluruh ruang kelas dan laboratorium. SMAMDA berkomitmen untuk terus berinovasi dan meningkatkan kepercayaan masyarakat sebagai sekolah unggulan.",Positif,"Dalam ringkasan ini, sentimen ""Positif"" dipilih karena SMAMDA Sidoarjo meraih penghargaan Radar Surabaya Award 2025 sebagai Sekolah Berbasis Digital Terbaik. Hal ini menunjukkan bahwa SMAMDA memiliki upaya dan komitmen yang kuat dalam mengembangkan teknologi digital, sehingga diterima penghargaan tersebut. Selain itu, transformasi digital SMAMDA termasuk penyediaan Smartboard di seluruh ruang kelas dan laboratorium, menunjukkan bahwa mereka berupaya meningkatkan kualitas pendidikan melalui teknologi modern."
Rekreasi dan Budaya,https://www.dekesda.or.id/2025/08/150-penari-ramaikan-lomba-tari-kreasi.html,9 Agustus,"Komite Tari Dekesda bekerja sama dengan UKM Samita Tari Unusida menggelar Lomba Tari Kreasi Tingkat Kabupaten Sidoarjo di kompleks Dekesda Art Center. Ajang ini diikuti 50 kelompok dengan total lebih dari 150 peserta, menampilkan berbagai tari kreasi mulai dari SD hingga SMA/sederajat. Lomba berlangsung dari pukul 09.00 hingga 19.00 dan menghadirkan dua juri berkompeten. Kolaborasi ini juga menjadi langkah nyata UKM Samita Tari Unusida untuk memperluas kegiatan di luar kampus. Perluasan kategori peserta mendapat sambutan positif dari berbagai pihak, termasuk Ketua Umum Dekesda, Ribut Wijoto. Lomba tersebut menampilkan suasana meriah hingga malam hari dengan para peserta bergantian menampilkan tarian dengan kostum berwarna-warni di panggung utama.",Positif,"Dalam ringkasan ini, sentimen yang dituliskan sebagai ""Positif"" karena lomba tari kreasi tersebut menghadirkan suasana meriah dan berbagai kegiatan yang dapat menarik perhatian. Hal-hal positif yang terlihat adalah perluasan kategori peserta yang mendapat sambutan positif dari pihak-pihak terkait, serta suasana bergembira dan penuh kegembiraan di panggung utama. Selain itu, kolaborasi antara Komite Tari Dekesda dengan UKM Samita Tari Unusida juga menunjukkan kerja sama yang dinamis dan proaktif, sehingga memberikan kesan positif overall pada peristiwa tersebut."
