Kategori,Url Berita,Tanggal,Ringkasan Fenomena,Sentiment,Alasan
Pengeluaran Konsumsi Rumah Tangga,,,nan,Kosong,
Makanan dan Minuman Non Beralkohol,https://sidoarjo.jatimtimes.com/baca/340803/20250703/070300/harga-komoditas-pangan-naik-inflasi-jatim-juni-2025-sentuh-0-43-persen,3 Juli,"Inflasi bulanan di Jawa Timur pada Juni 2025 tercatat sebesar 0,43 persen, lebih tinggi dari rata-rata inflasi nasional. Kenaikan inflasi ini didorong oleh naiknya harga komoditas pangan, terutama pada kelompok makanan, minuman, dan tembakau yang mengalami inflasi 1,24 persen. Komoditas yang paling signifikan menyumbang inflasi adalah beras, diikuti oleh cabai rawit, cabai merah, bawang merah, daging ayam ras, telur ayam ras, dan tomat. Namun, kenaikan ini tertahan oleh deflasi pada bawang putih serta penurunan harga bensin dan tarif kereta api. Semua kabupaten/kota di Jawa Timur mengalami inflasi, dengan Banyuwangi mencatatkan angka tertinggi sebesar 0,63 persen.",Negatif,"Kenaikan inflasi yang melebihi rata-rata nasional menunjukkan adanya penurunan daya beli masyarakat karena harga-harga barang kebutuhan pokok, terutama pangan, mengalami kenaikan signifikan. Meskipun ada beberapa komoditas yang mengalami deflasi seperti bawang putih dan bensin, dampak dari kenaikan harga beras, cabai, dan daging ayam ras lebih besar dalam mendorong inflasi. Inflasi yang tinggi dapat berdampak buruk pada perekonomian dan kesejahteraan masyarakat secara umum."
Minuman Beralkohol dan Rokok,https://www.surabaya.go.id/id/berita/23941/satpol-pp-surabaya-dan-bea-cukai-sidoarjo-sita-981-bungkus-rokok-ilegal,5 Juli,"Satuan Polisi Pamong Praja (Satpol PP) Kota Surabaya dan Bea Cukai Sidoarjo berhasil menyita 981 bungkus rokok ilegal dalam operasi gabungan yang digelar pada 5 Juli 2025. Operasi yang menyasar tujuh lokasi di Surabaya Pusat ini bertujuan untuk menekan peredaran rokok ilegal yang merugikan pendapatan negara. Selain melakukan penindakan di empat lokasi, tim gabungan juga melakukan sosialisasi kepada para pedagang. Rokok yang disita tidak memiliki pita cukai, menggunakan pita cukai palsu, atau salah peruntukan. Barang bukti tersebut akan dimusnahkan di Kantor Bea Cukai sebagai bentuk komitmen dalam memberantas rokok ilegal.",Positif,"Tindakan penindakan dan penyitaan rokok ilegal oleh Satpol PP Surabaya dan Bea Cukai Sidoarjo menunjukkan adanya upaya pemerintah untuk menegakkan hukum dan melindungi pendapatan negara. Selain itu, adanya sosialisasi kepada pedagang menunjukkan pendekatan yang edukatif. Kesuksesan operasi dan komitmen untuk memberantas rokok ilegal mencerminkan sentimen positif terhadap efektivitas kinerja pemerintah dan penegakan hukum."
Pakaian,https://sumsel.suara.com/read/2025/07/15/112825/6-tren-fashion-2025-yang-bikin-penampilanmu-auto-stylish-gak-ketinggalan-zaman,15 Juli,"Menurut artikel tersebut, enam tren fashion yang diprediksi akan populer pada tahun 2025 adalah Quiet Luxury yang fokus pada kualitas dan warna netral, Techwear Fungsional dengan fitur teknologi, Eco Chic yang mengedepankan bahan daur ulang, Gaya Y2K yang Lebih Dewasa dengan potongan bersih, Athflow yang menggabungkan pakaian olahraga dan elegan, serta Genderless Fashion yang membebaskan ekspresi tanpa batasan gender.",Positif,"Hal ini karena artikel tersebut memberikan informasi yang bermanfaat dan menginspirasi tentang tren mode yang akan datang, membantu pembaca untuk tampil stylish dan tidak ketinggalan zaman. Tren-tren yang disajikan juga mencerminkan nilai-nilai positif seperti keberlanjutan (Eco Chic) dan kebebasan berekspresi (Genderless Fashion), yang menawarkan panduan konstruktif bagi para pembaca."
"Perumahan, Air, Listrik, Gas dan Bahan Bakar Lainnya",https://radarsidoarjo.jawapos.com/kota-delta/856231149/warga-rt-19-rw-5-perumahan-mca-desa-boro-tanggulangin-sidoarjo-sukses-pilah-sampah-uangnya-untuk-piknik-bersama-warga,6 Juli,"Warga RT 19 RW 5 Perumahan MCA, Desa Boro, Kecamatan Tanggulangin, Sidoarjo, berhasil menerapkan program pilah sampah yang sukses. Selama setahun terakhir, mereka secara rutin memilah sampah organik dan anorganik, kemudian menjualnya, dan hasil dari penjualan tersebut dikumpulkan. Uang yang terkumpul kemudian digunakan untuk membiayai piknik bersama seluruh warga, yang baru-baru ini diadakan di Trawas, Mojokerto. Inisiatif ini tidak hanya menjadikan lingkungan lebih bersih, tetapi juga mempererat hubungan antar warga.",Positif,"Hal ini karena inisiatif warga untuk mengelola sampah terbukti berhasil dan memberikan dampak yang baik, baik dari sisi lingkungan (lingkungan menjadi lebih bersih) maupun sosial (hubungan antar warga semakin erat). Selain itu, keberhasilan program tersebut juga memberikan keuntungan finansial yang dapat dinikmati bersama, seperti piknik, menunjukkan keberhasilan dari gotong royong dan kesadaran lingkungan."
"Perabot, Peralatan Rumahtangga dan Pemeliharaan Rutin Rumah",https://www.sidoarjokab.go.id/berita/detail/1753322307/0,18 Juli,"Bupati Sidoarjo, Subandi, didampingi pejabat dan BAZNAS Sidoarjo, melakukan inspeksi mendadak ke tiga rumah warga yang tidak layak huni pada 18 Juli 2025. Rumah-rumah tersebut akan segera diperbaiki melalui program rumah tidak layak huni (RTLH) agar menjadi lebih aman dan nyaman. Warga yang menerima bantuan merasa sangat bersyukur dan berterima kasih atas perhatian yang diberikan oleh pemerintah daerah.",Positif,"Inspeksi mendadak oleh Bupati Sidoarjo dan tindak lanjut cepat untuk memperbaiki rumah warga yang tidak layak huni menunjukkan kepedulian dan responsivitas pemerintah daerah terhadap kesejahteraan masyarakat. Program perbaikan rumah yang segera dilakukan, serta rasa syukur dan terima kasih dari warga, mencerminkan adanya tindakan nyata dari pemerintah yang memberikan dampak positif."
Kesehatan,https://radarsidoarjo.jawapos.com/kota-delta/856323044/dinkes-sidoarjo-bangun-rsud-sedati-target-rampung-akhir-2025,20 Juli,"Dinas Kesehatan (Dinkes) Sidoarjo sedang membangun Rumah Sakit Umum Daerah (RSUD) Sedati, yang ditargetkan selesai pada akhir tahun 2025. Pembangunan rumah sakit tipe C ini bertujuan untuk meningkatkan pelayanan kesehatan bagi masyarakat di wilayah Sidoarjo bagian utara, khususnya di sekitar Bandara Juanda. Pembangunan RSUD Sedati, yang menelan biaya Rp 40 miliar, merupakan upaya pemerintah daerah untuk mendekatkan akses layanan kesehatan kepada warga.",Positif,Pembangunan Rumah Sakit Umum Daerah (RSUD) Sedati oleh Dinas Kesehatan Sidoarjo menunjukkan adanya tindakan nyata dari pemerintah daerah untuk meningkatkan dan mendekatkan akses layanan kesehatan bagi masyarakat. Anggaran sebesar Rp 40 miliar yang dialokasikan serta target penyelesaian yang jelas mencerminkan komitmen kuat pemerintah dalam memenuhi kebutuhan kesehatan warganya. Hal ini memberikan gambaran positif mengenai pembangunan infrastruktur publik di Sidoarjo.
Transportasi/Angkutan,https://radarsidoarjo.jawapos.com/kota-delta/856289524/diduga-mabuk-dan-ngebut-pemotor-tewas-tercebur-ke-kali-porong-sidoarjo,12 Juli,"Seorang pengendara motor bernama M. Anam (40) tewas setelah tercebur ke Kali Porong, Sidoarjo, pada Minggu, 27 Juli 2025, sekitar pukul 21.30 WIB. Korban diduga dalam kondisi mabuk dan mengendarai motor dengan kecepatan tinggi di Jalan Raya Arteri Porong, sehingga hilang kendali dan menabrak pembatas jalan. Jasad korban baru ditemukan keesokan harinya oleh warga setempat.",Negatif,"Kejadian ini menggambarkan sebuah insiden tragis yang mengakibatkan korban jiwa. Penyebab insiden yang diduga karena kelalaian (mabuk dan berkendara dengan kecepatan tinggi) juga memperkuat sentimen negatif, karena menyoroti bahaya dari perilaku tidak bertanggung jawab di jalan raya."
Komunikasi,https://informatika.umsida.ac.id/pelatihan-pertama-kka/,16 Juli,"Sebuah pelatihan Koding dan Kecerdasan Artifisial (KKA) telah diselenggarakan oleh Prodi Informatika Universitas Muhammadiyah Sidoarjo (Umsida) dari tanggal 14 hingga 18 Juli 2025. Pelatihan ini bertujuan untuk membekali para pendidik di Sidoarjo, mulai dari jenjang SD hingga SMA/SMK, dengan kemampuan mengajar di bidang KKA. Peserta pelatihan diajarkan konsep koding dan kecerdasan buatan, termasuk cara membuat aplikasi sederhana, yang diharapkan dapat membantu mereka dalam menghadapi tantangan teknologi di era digital dan membawa perubahan positif dalam pendidikan di Indonesia.",Positif,"Pelatihan yang diselenggarakan oleh Prodi Informatika Umsida menunjukkan adanya upaya untuk meningkatkan kualitas pendidikan dan kompetensi guru di era digital. Tujuan pelatihan yang jelas, yaitu membekali pendidik dengan keterampilan koding dan kecerdasan buatan, serta dampaknya yang diharapkan dapat membawa perubahan positif, mencerminkan narasi yang konstruktif dan optimistis."
Rekreasi dan Budaya,https://unair.ac.id/post_fetcher/fakultas-ilmu-budaya-uktk-dan-pakarsajen-ramaikan-festival-gamelan-sidoarjo/,30 Juli,"Paguyuban Karawitan Sastra Jendra (Pakarsajen) dan Unit Kegiatan Tari dan Karawitan (UKTK) dari Fakultas Ilmu Budaya Universitas Airlangga (UNAIR) turut memeriahkan Festival Gamelan Kahuripan dan 1000 Wayang Sidoarjo Nembang Macapat pada 27 Juli 2025. Kolaborasi ini merupakan bagian dari upaya mereka untuk mempererat hubungan antar-organisasi dan memperluas jejaring dengan komunitas budaya lokal di Sidoarjo. Acara yang juga dimeriahkan oleh penampilan pelajar, komunitas, dan dalang cilik ini berlangsung di Pendopo Delta Wibawa, Kabupaten Sidoarjo.",Positif,"Kolaborasi antara Paguyuban Karawitan Sastra Jendra dan UKTK dalam festival gamelan di Sidoarjo menunjukkan adanya sinergi dan dukungan terhadap pelestarian budaya lokal. Kehadiran berbagai pihak, termasuk pelajar dan komunitas, dalam acara tersebut juga mencerminkan semangat kebersamaan dan regenerasi seni budaya yang memberikan dampak positif."
