Kategori,Url Berita,Tanggal,Ringkasan Fenomena,Sentiment,Alasan
Pengeluaran Konsumsi Rumah Tangga,,,,Kosong,
Makanan dan Minuman Non Beralkohol,"https://radarsidoarjo.jawapos.com/kota-delta/856610617/pastikan-aman-dikonsumsi-wabup-mimik-sidak-mbg-di-smpn-2-sidoarjo,
https://radarsidoarjo.jawapos.com/kota-delta/856590379/pemkab-sidoarjo-targetkan-jual-36-ton-beras-murah-setiap-hari",23 September 2025; 18 September 2025,"Pemda Sidoarjo berencana memastikan aman konsumsi air minum di SMPN 2 Sidoarjo dengan melalui program ""Mimik Sidak MBG"". Selain itu, Pemkab Sidoarjo juga targetkan menjual 36 ton beras murah setiap hari.",Positif,"Ringkasan ini berisi informasi tentang programa Pemda Sidoarjo untuk memastikan aman konsumsi air minum di SMPN 2 Sidoarjo dan targetkan menjual beras murah. Kedua hal ini menunjukkan kesadaran pemerintah dalam meningkatkan kualitas hidup masyarakat dan mengurangi biaya, sehingga sentimen yang diberikan adalah Positif. Alasan ini berdasarkan pada informasi yang ditampilkan tentang program-program yang diambil Pemda Sidoarjo untuk membaikkan hidup warga, termasuk memberikan kesempatan bagi masyarakat untuk mendapatkan air minum yang aman dan beras murah."
Minuman Beralkohol dan Rokok,https://radarsidoarjo.jawapos.com/kota-delta/856641508/satpol-pp-sidoarjo-tegaskan-komitmen-gempur-rokok-ilegal,30 September 2025;,,Kosong,
Pakaian,,,,Kosong,
"Perumahan, Air, Listrik, Gas dan Bahan Bakar Lainnya",,,,Kosong,
"Perabot, Peralatan Rumahtangga dan Pemeliharaan Rutin Rumah",,,,Kosong,
Kesehatan,"https://radarsidoarjo.jawapos.com/kota-delta/856597652/bpjs-kesehatan-pastikan-peserta-jkn-yang-berwisata-ke-sidoarjo-tetap-mendapatkan-layanan-kesehatan, 
https://radarsidoarjo.jawapos.com/kota-delta/856560904/bpjs-kesehatan-cabang-sidoarjo-jelaskan-langkah-langkah-pendaftaran-bayi-baru-lahir",20 September 2025; 12 September 2025,"BPJS Kesehatan Pastikan Peserta JKN yang Berwisata ke Sidoarjo Tetap Mendapatkan Layanan Kesehatan. BPJS Kesehatan Cabang Sidoarjo menjelaskan langkah-langkah pendaftaran bayi baru lahir. Peserta JKN yang berwisata ke Sidoarjo tidak perlu khawatir, karena BPJS Kesehatan telah memastikan bahwa mereka tetap mendapatkan layanan kesehatan. Selain itu, BPJS Kesehatan Cabang Sidoarjo juga memberikan informasi tentang proses pendaftaran bayi baru lahir, termasuk persyaratan dan langkah-langkah yang harus diikuti.",Positif,"Ringkasan ini memiliki sentimen positif karena berita tersebut menghadirkan kabar baik dan jaminan kesehatan bagi peserta JKN yang berwisata ke Sidoarjo. BPJS Kesehatan memastikan bahwa mereka tetap mendapatkan layanan kesehatan, membuat peserta tidak perlu khawatir. Selain itu, informasi tentang proses pendaftaran bayi baru lahir juga diberikan, sehingga peserta dapat dengan mudah mengikuti langkah-langkah yang harus diikuti."
Transportasi/Angkutan,,,,Kosong,
Komunikasi,,,,Kosong,
Rekreasi dan Budaya,https://radarsidoarjo.jawapos.com/lifestyle/856606384/yoga-date-di-favehotel-sidoarjo-sensasi-olahraga-sehat-dan-romantis-untuk-pasangan-muda,22 September 2025;,"Favehotel Sidoarjo mengadakan ""Yoga Date"" sebagai acara olahraga sehat dan romantis untuk pasangan muda. Acara ini bertujuan meningkatkan kualitas hidup dengan berlatih yoga bersama. Kegiatan ini juga diisi dengan beberapa rangkaian kegiatan, seperti dinner date dan games, yang bertujuan mempereratkan ikatan antar pasangan. Favehotel Sidoarjo berharap acara ini dapat menjadi referensi bagi pasangan muda untuk meningkatkan kualitas hidup mereka melalui olahraga sehat dan romantis.",Positif,"Berdasarkan ringkasan, sentimen ""Positif"" karena Favehotel Sidoarjo mengadakan acara ""Yoga Date"" yang bertujuan meningkatkan kualitas hidup pasangan muda melalui olahraga sehat dan romantis. Acara ini juga diisi dengan kegiatan-kegiatan lain yang bertujuan mempereratkan ikatan antar pasangan, sehingga dapat menghadirkan suasana yang romantis dan menyenangkan bagi para peserta."
